DropQ_0_GROUP_1,DropQ_0_1_RANK,DropQ_1_GROUP_1,DropQ_0_GROUP_2,DropQ_0_2_RANK,DropQ_1_GROUP_2,DropQ_0_GROUP_3,DropQ_0_3_RANK,DropQ_1_GROUP_3,DropQ_0_GROUP_4,DropQ_0_4_RANK,DropQ_1_GROUP_4,DropQ_0_GROUP_5,DropQ_0_5_RANK,DropQ_1_GROUP_5,DropQ_0_GROUP_6,DropQ_0_6_RANK,DropQ_1_GROUP_6,DropQ_0_GROUP_7,DropQ_0_7_RANK,DropQ_1_GROUP_7,DropQ_0_GROUP_8,DropQ_0_8_RANK,DropQ_1_GROUP_8,DropQ_0_GROUP_9,DropQ_0_9_RANK,DropQ_1_GROUP_9,PushQ_0_GROUP_1,PushQ_0_1_RANK,PushQ_1_GROUP_1,PushQ_0_GROUP_2,PushQ_0_2_RANK,PushQ_1_GROUP_2,PushQ_0_GROUP_3,PushQ_0_3_RANK,PushQ_1_GROUP_3,PushQ_0_GROUP_4,PushQ_0_4_RANK,PushQ_1_GROUP_4,PushQ_0_GROUP_5,PushQ_0_5_RANK,PushQ_1_GROUP_5,PushQ_0_GROUP_6,PushQ_0_6_RANK,PushQ_1_GROUP_6,PushQ_0_GROUP_7,PushQ_0_7_RANK,PushQ_1_GROUP_7,PushQ_0_GROUP_8,PushQ_0_8_RANK,PushQ_1_GROUP_8,PushQ_0_GROUP_9,PushQ_0_9_RANK,PushQ_1_GROUP_9,PullQ_0_GROUP_1,PullQ_0_1_RANK,PullQ_1_GROUP_1,PullQ_0_GROUP_2,PullQ_0_2_RANK,PullQ_1_GROUP_2,PullQ_0_GROUP_3,PullQ_0_3_RANK,PullQ_1_GROUP_3,PullQ_0_GROUP_4,PullQ_0_4_RANK,PullQ_1_GROUP_4,PullQ_0_GROUP_5,PullQ_0_5_RANK,PullQ_1_GROUP_5,PullQ_0_GROUP_6,PullQ_0_6_RANK,PullQ_1_GROUP_6,PullQ_0_GROUP_7,PullQ_0_7_RANK,PullQ_1_GROUP_7,PullQ_0_GROUP_8,PullQ_0_8_RANK,PullQ_1_GROUP_8,PullQ_0_GROUP_9,PullQ_0_9_RANK,PullQ_1_GROUP_9,scene,condition,CATCH2,CATCH3,invalid,ATESTQ_0_2_RANK,ATESTQ_0_4_RANK,ATESTQ_0_5_RANK,ATESTQ_1_1_RANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the pulled thing,3.0,,The trajectory of the pulled thing,4.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),7.0,,The color of the pulled thing,6.0,,The color of the other thing,8.0,,The apparent material of the pulled thing,5.0,,Pull,500ms,"To listen to instructions and picture an image vividly in my mind, then rank the order of things I imagined",The color of the pulled thing,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,A person who dropped the thing,1.0,,,,The type of the thing being dropped (e.g. what object was it?),The type of the other thing (e.g. what object was it?),2.0,,The color of the dropped thing,3.0,,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,Imagine a scene described ,The color of the dropped thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),5.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,To imagine something via audio and then rank what you did or didn't see,Did I know the color?,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,4.0,,A person who dropped the thing,3.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,6.0,,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,Imagine what is said and rank the things that came to mind in order.,the size of the thing dropped,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),The weight of the pushed thing,3.0,,,,The direction of movement of the pushed thing,A surface/table/floor,4.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,"To imagine a scene and determine out of a list of properties, which ones appeared in my imagination.",The type of object being pushed. ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,3.0,,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,imagine a dropped thing,who dropped it,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the pulled thing,The trajectory of the pulled thing,1.0,,A person who pulled the thing,2.0,,,,The type of the thing being pulled (e.g. what object was it?),,,The type of the other thing (e.g. what object was it?),,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,1000ms,imagine a scene and then categorizing properties of the scene and ranking them,the trajectory of the pulled thing,,2.0,1.0,3.0,1.0
,,The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),,,The size of the dropped thing,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,Make a mental image and mention if what you thought about.,The size of the thing.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The weight of the pushed thing,3.0,,The direction of movement of the pushed thing,5.0,,A surface/table/floor,7.0,,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the pushed thing,6.0,,,,The color of the other thing,The apparent material of the pushed thing,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,To imagine one thing pushing something else the describe what I imagined. ,What the thing was that was doing the pushing. ,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the pulled thing,4.0,,The trajectory of the pulled thing,5.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,7.0,,,,The color of the other thing,The apparent material of the pulled thing,6.0,,Pull,2000ms,describe what you imagine when hearing the audio,color of item being pulled,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),7.0,,The weight of the pushed thing,5.0,,The direction of movement of the pushed thing,6.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pushed thing,3.0,,The color of the other thing,4.0,,The apparent material of the pushed thing,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,Imagine a scene and then list whether certain properties fit into what I imagined.,the color of the thing being pushed,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),,,The weight of the pushed thing,The direction of movement of the pushed thing,4.0,,A surface/table/floor,3.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the pushed thing,5.0,,The color of the other thing,2.0,,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,To imagine what I was told and to place the answers I thought of in the correct box.,what color was the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),7.0,,The size of the pulled thing,3.0,,The trajectory of the pulled thing,8.0,,A person who pulled the thing,6.0,,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the pulled thing,2.0,,,,The color of the other thing,The apparent material of the pulled thing,5.0,,Pull,500ms,Imagined a scene based on audio instructions and answered questions about what I imagined.,size of the thing being pulled,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,5.0,,A surface/table/floor,3.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,Ranking what imaged in the scene,the color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,5.0,,A surface/table/floor,3.0,,The type of the thing being pushed (e.g. what object was it?),6.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,to imagine a scenario and answer questions on it  ,color,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The size of the dropped thing,The trajectory of the dropped thing,3.0,,A person who dropped the thing,1.0,,The type of the thing being dropped (e.g. what object was it?),2.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,imagination in a very short time of a description,trajectory,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the pulled thing,6.0,,,,The trajectory of the pulled thing,A person who pulled the thing,8.0,,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,3.0,,The color of the other thing,7.0,,The apparent material of the pulled thing,4.0,,Pull,1000ms,To listen to audio and visualize one thing being pulled out of another thing.,The trajectory of the pulled thing.,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,1.0,,A person who dropped the thing,3.0,,The type of the thing being dropped (e.g. what object was it?),4.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,Imagine a scenario based on an audio clip and report on how visualized it was,color of the thing being dropped,,2.0,1.0,3.0,1.0
,,The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),The size of the dropped thing,3.0,,The trajectory of the dropped thing,2.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,describe what I imagined in a scene,color,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,1.0,,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the pulled thing,5.0,,The color of the other thing,2.0,,,,The apparent material of the pulled thing,Pull,1000ms,imagine a scene and answer some questions about it.,the size of the object being pulled,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),6.0,,,,The size of the dropped thing,The trajectory of the dropped thing,4.0,,A person who dropped the thing,1.0,,The type of the thing being dropped (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,It was to imagine a scene of a dropped item. ,What kind of object was it?,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),2.0,,,,The size of the dropped thing,,,The trajectory of the dropped thing,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,Imagine dropping an item next to another item,The color of the item dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The size of the dropped thing,3.0,,The trajectory of the dropped thing,1.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),5.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,1000ms,I imagined an object dropped next to another object and reported it.,Trajectory,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,2.0,,The trajectory of the pulled thing,1.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),4.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,5.0,,Pull,2000ms,imagine something was pulled out from something else,the color of the object being pulled out,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),The size of the pulled thing,5.0,,The trajectory of the pulled thing,7.0,,A person who pulled the thing,3.0,,The type of the thing being pulled (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,4.0,,The color of the other thing,6.0,,,,The apparent material of the pulled thing,Pull,250ms,Listen to and imagine a scenario and then rank the things that came to mind,The color of the pulled thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),4.0,,The size of the pulled thing,6.0,,The trajectory of the pulled thing,1.0,,A person who pulled the thing,8.0,,The type of the thing being pulled (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),2.0,,The color of the pulled thing,7.0,,The color of the other thing,5.0,,The apparent material of the pulled thing,9.0,,Pull,250ms,We had to listen to a short description and imagine something based on that and then answer questions,the material of the object,,2.0,1.0,3.0,1.0
,,The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),The size of the dropped thing,3.0,,,,The trajectory of the dropped thing,A person who dropped the thing,1.0,,,,The type of the thing being dropped (e.g. what object was it?),,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,The apparent material of the dropped thing,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,Imagine a scene and group them according to their properties , The apparent material of the dropped thing,,2.0,1.0,3.0,1.0
,,The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),The size of the dropped thing,2.0,,The trajectory of the dropped thing,3.0,,A person who dropped the thing,4.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,250ms,imagine something dropping,color,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the pulled thing,,,The trajectory of the pulled thing,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),4.0,,The type of the other thing (e.g. what object was it?),5.0,,The color of the pulled thing,2.0,,The color of the other thing,1.0,,,,The apparent material of the pulled thing,Pull,2000ms,I need to imagine that something was pulled out of another thing in 2 seconds and describe it by dragging things into two different boxes. ,The color of the pulled thing. ,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The size of the pulled thing,The trajectory of the pulled thing,3.0,,A person who pulled the thing,5.0,,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),6.0,,,,The color of the pulled thing,The color of the other thing,4.0,,,,The apparent material of the pulled thing,Pull,250ms,Describing an audio scene that inspired an imaginary scene and then ranking the order of which certain aspects of the imaginary scene chronologically appeared. ,The color of the thing being pulled,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the pushed thing,3.0,,,,The color of the other thing,The apparent material of the pushed thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,"To listen to an audio giving us a task, then we have a short period of time to imagine the task and then answer questions about it.",The color of the item imagined ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),6.0,,The size of the dropped thing,4.0,,The trajectory of the dropped thing,5.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,,,The type of the other thing (e.g. what object was it?),The color of the dropped thing,3.0,,The color of the other thing,7.0,,The apparent material of the dropped thing,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,Describe the visual image imagined by the audio stimulus.,Trajectory of the drop.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the pulled thing,1.0,,The trajectory of the pulled thing,4.0,,A person who pulled the thing,6.0,,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),5.0,,,,The color of the pulled thing,,,The color of the other thing,,,The apparent material of the pulled thing,Pull,500ms,"I was ask to imagine a scene involving an object being pulled out of another, and answer various questions about it. ",The object's color.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the pulled thing,3.0,,The trajectory of the pulled thing,8.0,,A person who pulled the thing,4.0,,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the pulled thing,7.0,,,,The color of the other thing,The apparent material of the pulled thing,6.0,,Pull,1000ms,"I had to imagine a scenario of pulling something out of something else, and rank the properties/characteristics of what was imagined.",The size of the thing being pulled,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),,,The size of the pulled thing,The trajectory of the pulled thing,6.0,,A person who pulled the thing,1.0,,The type of the thing being pulled (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),3.0,,The color of the pulled thing,5.0,,The color of the other thing,4.0,,,,The apparent material of the pulled thing,Pull,250ms,"I had to listen to an audio, imagine what they told me to imagine & then move items into lists and rank some of them.",The color of the object I imagined being pulled.,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),4.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),3.0,,The type of the other thing (e.g. what object was it?),1.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,TO imagine a scene based on the audio description ,the color of the object,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The weight of the pushed thing,,,The direction of movement of the pushed thing,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),3.0,,The color of the pushed thing,5.0,,,,The color of the other thing,The apparent material of the pushed thing,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,imagined pushing an object with another object,what color was the object being pushed,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),5.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,4.0,,A surface/table/floor,8.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),6.0,,The color of the pushed thing,3.0,,The color of the other thing,7.0,,The apparent material of the pushed thing,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,500ms,Imagine a scene for half a second then put what factors I thought about while imagining ranked,Weight of the pushed thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The weight of the pushed thing,3.0,,The direction of movement of the pushed thing,4.0,,A surface/table/floor,6.0,,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pushed thing,,,The color of the other thing,The apparent material of the pushed thing,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,1000ms,Told a scene to imagine and then imagine the scene and answer questions.,The color of the thing,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The weight of the pushed thing,4.0,,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),5.0,,,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,2000ms,describe a mental image and answer questions of properties,what was the color of the object,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),3.0,,,,The size of the dropped thing,The trajectory of the dropped thing,4.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the dropped thing,,,The color of the other thing,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,Sorting properties of the imagined scene created by the audio,the type of object that was dropped,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pulled thing relative to the other thing (e.g. to the left/right/front/back),5.0,,The size of the pulled thing,1.0,,The trajectory of the pulled thing,3.0,,,,A person who pulled the thing,The type of the thing being pulled (e.g. what object was it?),6.0,,The type of the other thing (e.g. what object was it?),2.0,,,,The color of the pulled thing,,,The color of the other thing,The apparent material of the pulled thing,4.0,,Pull,500ms,Picture in your mind what we say in the audio ,Material of the thing ,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),3.0,,The size of the dropped thing,5.0,,The trajectory of the dropped thing,6.0,,,,A person who dropped the thing,The type of the thing being dropped (e.g. what object was it?),2.0,,The type of the other thing (e.g. what object was it?),1.0,,The color of the dropped thing,7.0,,The color of the other thing,4.0,,,,The apparent material of the dropped thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,2000ms,describe a scene of dropping something next to another something,The color of the object being dropped,,2.0,1.0,3.0,1.0
The location of the dropped thing relative to the other thing (e.g. to the left/right/front/back),8.0,,The size of the dropped thing,2.0,,The trajectory of the dropped thing,6.0,,A person who dropped the thing,7.0,,The type of the thing being dropped (e.g. what object was it?),1.0,,The type of the other thing (e.g. what object was it?),4.0,,The color of the dropped thing,5.0,,The color of the other thing,9.0,,The apparent material of the dropped thing,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drop,500ms,"To describe the image of what my mind perceived, from the instruction of dropping something, that was given to me.",the color of the item being dropped,,2.0,1.0,3.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,The location of the pushed thing relative to the other thing (e.g. to the left/right/front/back),1.0,,,,The weight of the pushed thing,The direction of movement of the pushed thing,2.0,,,,A surface/table/floor,The type of the thing being pushed (e.g. what object was it?),3.0,,,,The type of the other thing (e.g. what object was it?),,,The color of the pushed thing,,,The color of the other thing,,,The apparent material of the pushed thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push,250ms,Imagine and create a mental image of what is being said in the audio clip.,The color of the object,,2.0,1.0,3.0,1.0
